,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.5,0.21875,0.328125,0.234375,0.125,0.234375,0.21875,0.234375,0.125,0.078125,0.25,0.1875,0.203125,0.296875,0.328125,0.296875,0.125,0.15625,0.10416666666666663
1,0.125,0.09375,0.015625,0.0625,0.09375,0.0625,0.140625,0.0625,0.03125,0.046875,0.09375,0.0,0.109375,0.109375,0.0625,0.109375,0.140625,0.1875,0.16666666666666663
2,0.125,0.125,0.09375,0.109375,0.015625,0.046875,0.0625,0.1875,0.0625,0.078125,0.109375,0.109375,0.15625,0.078125,0.109375,0.125,0.09375,0.046875,0.08333333333333337
